icao,type,description,frequency_mhz
CYJN,A/G,VFR ADVSY,134.15
CYJN,ATF,ATF,118.2
CYJN,GND,GND,121.7
CYJN,TWR,TWR,118.2
CYJT,CNTR,GANDER CNTR,132.3
CYJT,RCO,HALIFAX RDO,126.7
CYJT,RDO,MF,122.1
CYKA,CLNC DEL,Light hrs,121.9
CYKA,MF,"Kamloops Radio, 5nm below 4100ASL",125.7
CYKA,PAL,Vancouver Control,132.35
CYKA,PVT ADV,Shell Aerocenter,123
CYKA,RCO,Pacific Radio (FISE),123.375
CYKA,VDF,,125.7
CYKD,ATF,ATF,122.1
CYKD,RDO,ARPT RDO,122.1
CYKF,ARR,Toronto Terminal,128.275
CYKF,ATIS,ATIS,125.1
CYKF,DEP,Toronto Terminal,128.275
CYKF,GND,Waterloo Ground,121.8
CYKF,MF,"Waterloo Traffic, 5nm below 4000 ASL, 04Z to 12Z",126
CYKF,PAL,Toronto Control,128.275
CYKF,TWR,"Waterloo Tower, secondary",118.55
CYKF,TWR,"Waterloo Tower, primary",126
CYKL,A/G,MF,122.2
CYKL,AWOS,AWOS,124.6
CYKL,CNTR,MONTREAL CNTR,132.9
CYKL,FSS,QUEBEC RDO,126.7
CYKL,RCO,QUEBEC RDO,126.7
CYKM,UNIC,ATF/UNICOM,122.8
CYKO,ATF,MF/CTAF,122.1
CYKO,INFO,ARPT RDO,122.1
CYKO,RDO,QUEBEC RDO,126.7
CYKX,ATF,ATF,122.8
CYKY,ATF,ATF,122.8
CYLB,ATF,ATF,123.2
CYLB,CNTR,EDMONTON CNTR,134.7
CYLB,RCO,EDMONTON RDO,126.7
CYLD,UNIC,ATF/UNICOM,122.8
CYLI,ATF,ATF,123.2
CYLJ,A/D,COLD LAKE TRML,124.5
CYLJ,ATF,ATF,122.8
CYLL,A/G,MF LLOYDMINSTER RDO,122.2
CYLL,CNTR,EDMONTON CNTR,133.45
CYLL,RCO,EDMONTON RDO,126.7
CYLL,RDO,RDO,122.2
CYLQ,CNTR,MONTREAL CNTR,134.5
CYLQ,UNIC,ATF/UNICOM,122.8
CYLR,ATF,ATF,123.2
CYLS,AWOS,AWOS,122.975
CYLS,CNTR,TORONTO CNTR,124.025
CYLS,UNIC,ATF/UNICOM,122.7
CYLT,OPS,OPS,568
CYLW,A/G,PACIFIC RDO,126.7
CYLW,ATIS,ATIS,127.5
CYLW,EMR,EMR,122.675
CYLW,GND,GND,121.7
CYLW,RCO,PENTICTON RDO,119.6
CYLW,TWR,TWR,119.6
CYLW,VDF,,119.6
CYMA,CNTR,EDMONTON CNTR,134.65
CYMA,RCO,WHITEHORSE RDO,126.7
CYMA,RDO,ARPT RDO,122.1
CYME,CNTR,MONTREAL CNTR,134.65
CYME,UNIC,ATF/UNICOM,122.8
CYMG,A/D,LONDON RDO,126.7
CYMG,UNIC,ATF/UNICOM,122.8
CYMJ,ARR,ARR,28.94
CYMJ,ARR,ARR,38.13
CYMJ,ARR,ARR,119
CYMJ,ATIS,ATIS,25.78
CYMJ,CLD,CLNC DEL,135.3
CYMJ,DEP,DEP,119
CYMJ,GND,GND,121.8
CYMJ,OPS,WING OPS,23.01
CYMJ,PMSV,PMSV,34.46
CYMJ,TWR,TWR,126.2
CYML,CNTR,MONTREAL CNTR,125.1
CYML,UNIC,ATF/UNICOM,123
CYMM,ATIS,ATIS,128.5
CYMM,CNTR,EDMONTON CNTR,135.7
CYMM,GND,Fort McMurray Ground,121.9
CYMM,MF,Peace River Radio,118.1
CYMM,RCO,EDMONTON RDO,123.55
CYMM,TWR,Fort McMurray Tower,118.1
CYMO,A/G,MF,122.5
CYMO,ATF,ATF,122.5
CYMO,AWOS,AWOS,124.8
CYMO,CNTR,TORONTO CNTR,133.725
CYMO,RCO,TIMMINS RDO,122.5
CYMT,CNTR,MONTREAL CNTR,127.3
CYMT,RCO,QUEBEC RDO,122
CYMW,CNTR,MONTREAL CNTR,126.57
CYMW,UNIC,ATF/UNICOM,122.8
CYMX,ARR,Montreal Arrival,124.65
CYMX,ARR,Montreal Arrival,132.85
CYMX,ARR,Montreal Arrival,268.3
CYMX,ATIS,ATIS (English) 450-476-3031,125.7
CYMX,ATIS,ATIS (French) 450-476-3095,126.1
CYMX,DEP,Montreal Departure,132.85
CYMX,MF,Mirabel Radio,119.1
CYMX,RDR,VFR ADVSY,134.15
CYMX,RMP,APRON ADVSY,122.4
CYMY,UNIC,ATF/UNICOM,122.8
CYNA,AWOS,AWOS,126.25
CYNA,RCO,QUEBEC RDO,122.2
CYNA,RDO,MF QUEBEC RDO,122.2
CYND,ARR,Ottawa Arrivals,128.175
CYND,ATF,Gatineau Traffic,122.3
CYND,DEP,Ottawa Departures,128.175
CYND,MF,"Gatineau Radio, 0630-2115 local",122.3
CYND,RCO,Quebec Radio,123.375
CYND,TML,Ottawa Terminal,127.7
CYNH,ATF,ATF,123.2
CYNJ,ATIS,,124.5
CYNJ,GND,Langley Ground,121.9
CYNJ,TWR,Langley Tower,119
CYNM,AWOS,AWOS,127.45
CYNM,RCO,QUEBEC RDO,123.55
CYNM,UNIC,ATF/UNICOM,122.8
CYOA,CTAF,,122.7
CYOA,PAL,Edmonton Center,135.175
CYOA,RCO,Arctic Radio (FISE),123.275
CYOC,ATF,MANDATORY FREQ,122.1
CYOC,RDO,ARPT RDO,122.1
CYOD,A/G,TRAN SVCG,30.87
CYOD,APP,APP,124.5
CYOD,ARR,ARR,124.5
CYOD,ATIS,ATIS,26
CYOD,CLD,CLNC DEL,120.6
CYOD,DEP,DEP,124.5
CYOD,GND,GND,121.9
CYOD,OPS,WING OPS,34.02
CYOD,PMSV,PMSV,34.46
CYOD,TWR,TWR,126.2
CYOJ,A/G,MF HIGH LEVEL RDO,123.25
CYOJ,CNTR,EDMONTON CNTR,123.7
CYOJ,FSS,RDO,123.25
CYOJ,RCO,EDMONTON RDO,126.7
CYOO,A/G,MF,120.1
CYOO,APP,TORONTO TRML,133.4
CYOO,ATIS,ATIS,125.675
CYOO,GND,GND,118.4
CYOO,TWR,TWR,120.1
CYOP,UNIC,ATF/UNICOM,122.8
CYOS,CNTR,TORONTO CNTR,132.575
CYOS,UNIC,ATF/UNICOM,123
CYOW,ARR,Ottawa Arrivals,135.15
CYOW,ATIS,English ATIS,121.15
CYOW,ATIS,French ATIS,132.95
CYOW,CLNC DEL,Ottawa Clearance,119.4
CYOW,DEP,Ottawa Departures,128.175
CYOW,GND,Ottawa Ground,121.9
CYOW,RCO,Quebec Radio,123.15
CYOW,TML,Ottawa Terminal,127.7
CYOW,TWR,Ottawa Tower,118.8
CYPA,ARR,Winnipag Control,133.9
CYPA,DEP,Winnipeg Control,133.9
CYPA,INFO,ATHABASKA AWYS,129.45
CYPA,MF,"Prince Albert Radio, 5nm below 4400ASL",122.3
CYPA,RADIO,Prince Albert Radio,122.3
CYPA,RCO,Winnipeg Radio,123.475
CYPA,VDF,,122.3
CYPC,ATF,MANDATORY FREQ,122.1
CYPC,RDO,ARPT RDO,122.1
CYPD,RDO,HALIFAX RDO,126.7
CYPD,UNIC,ATF/UNICOM,122.8
CYPE,A/G,MF,122.3
CYPE,CNTR,EDMONTON CNTR,133.275
CYPE,FSS,RDO,122.3
CYPE,RCO,EDMONTON RDO,123.275
CYPG,ATF,ATF,126.2
CYPG,ATIS,ATIS,120.85
CYPG,GND,GND,121.7
CYPG,TWR,TWR,126.2
CYPK,ATF,ATF,126.3
CYPK,ATIS,ATIS,125
CYPK,GND,GND,123.8
CYPK,TWR,TWR,126.3
CYPL,RCO,WINNIPEG RDO,122.2
CYPL,RDO,MF THUNDER BAY RDO,122.2
CYPN,UNIC,ATF/UNICOM,123.5
CYPQ,AWOS,AWOS,126.925
CYPQ,CNTR,TORONTO CNTR,134.25
CYPQ,UNIC,ATF/UNICOM,123
CYPR,A/G,RUPERT RDO,122.5
CYPR,CNTR,VANCOUVER CNTR,128
CYPR,RCO,TERRACE RDO,122.5
CYPR,RDO,PACIFIC RDO,126.7
CYPS,ATF,ATF,123.2
CYPT,CNTR,CLEVELAND CNTR,126.35
CYPT,UNIC,ATF/UNICOM,123.2
CYPU,ATF,WILLIAMS LAKE RDO,126.7
CYPU,CNTR,VANCOUVER CNTR,135.05
CYPU,RCO,PACIFIC RDO,126.7
CYPW,A/D,COMOX TERMINAL,123.7
CYPW,A/G,MF,123
CYPW,RDO,PACIFIC RDO,126.7
CYPX,A/G,AFLD RDO,122.1
CYPX,ATF,CTAF MF,122.1
CYPX,RCO,QUEBEC RDO,126.7
CYPY,ATF,ATF,123.2
CYPY,RCO,EDMONTON RDO,123.45
CYPZ,ATF,"Burns Lake Traffic, 5nm below 5400ASL",122.7
CYPZ,LWIS,Limited Weather Information System,122.95
CYPZ,PAL,Vancouver Control,123.875
CYPZ,PAL,Vancouver Control,132.525
CYPZ,RCO,Pacific Radio (FISE),123.375
CYQA,AWOS,,124.575
CYQA,MF,Timmins Radio,122.3
CYQA,RCO,LONDON RDO,123.475
CYQB,A/D,TRML CON,124
CYQB,ATIS,Atis French,128.3
CYQB,ATIS,Atis English,134.6
CYQB,CNTR,MONTREAL CNTR,135.025
CYQB,GND,GND,121.9
CYQB,RDO,RDO,123.55
CYQB,TWR,TWR,118.65
CYQD,A/G,MF WINNIPEG RDO,122.2
CYQD,CNTR,WINNIPEG CNTR,135.625
CYQD,RCO,WINNIPEG RDO,122.2
CYQF,ATIS,ATIS 24H,124
CYQF,GND,13-05Z,121.9
CYQF,MF/RDO,05-13Z RED DEER RDO,118.5
CYQF,PAL,EDMONTON CNTR,132.85
CYQF,RCO,EDMONTON RDO,123.475
CYQF,RCO. Bcst,Edmonton Rdo,126.7
CYQF,TWR,13-05Z,118.5
CYQG,A/D,DETROIT  APP/DEP,126.85
CYQG,A/G,MF,124.7
CYQG,AAS,VFR ADVSY,134.3
CYQG,ATIS,ATIS,134.5
CYQG,GND,GND,121.7
CYQG,RDO,LONDON RDO,126.7
CYQG,TWR,TWR,124.7
CYQH,ATF,MANDATORY FREQ,122.1
CYQH,RCO,WHITEHORSE RDO,126.7
CYQH,RDO,ARPT RDO,122.1
CYQI,A/G,MF,123
CYQI,CNTR,MONCTON CNTR,123.9
CYQK,CNTR,WINNIPEG CNTR,124
CYQK,FSS,RDO,122.2
CYQK,RCO,WINNIPEG RDO,126.7
CYQK,RDO,MF,122.2
CYQK,VDF,VHF/DF,122.2
CYQL,A/G,MF,121
CYQL,ATIS,ATIS,124.4
CYQL,CNTR,EDMONTON CNTR,132.75
CYQL,RCO,EDMONTON RDO,122.5
CYQL,RDO,RDO,121
CYQM,A/D,APP/DEP,124.4
CYQM,ATIS,ATIS,128.65
CYQM,GND,GND,121.8
CYQM,INFO,APN ADVSY,122.075
CYQM,RCO,HALIFAX RDO,122.5
CYQM,TWR,TWR,120.8
CYQN,UNIC,ATF/UNICOM,122.8
CYQQ,APP,TRML,134.1
CYQQ,ARR,ARR,128.1
CYQQ,ATIS,ATIS,118.6
CYQQ,DEP,DEP,123.7
CYQQ,GND,GND,119.75
CYQQ,OPS,MIL OPS,135.9
CYQQ,PMSV,PMSV,34.46
CYQQ,TWR,TWR,126.2
CYQR,A/G,MF REGINA RDO,118.6
CYQR,ARR,ARR,120.1
CYQR,ATIS,ATIS,127
CYQR,CNTR,WINNIPEG,123.8
CYQR,DEP,DEP,120.1
CYQR,GND,GND,121.9
CYQR,RCO,EDMONTON RDO,122.5
CYQR,TWR,TWR,118.6
CYQS,CNTR,TORONTO CNTR,135.3
CYQS,UNIC,ATF/UNICOM,122.7
CYQT,A/D,APP/DEP,119.2
CYQT,A/G,MF,118.1
CYQT,ATIS,ATIS,128.8
CYQT,CNTR,WINNIPEG CNTR,132.125
CYQT,GND,GND,121.9
CYQT,RCO,WINNIPEG RDO,122.5
CYQT,TWR,TWR,118.1
CYQU,A/G,MF GRAND PRAIRIE RDO,118.1
CYQU,ATIS,ATIS,128.6
CYQU,CNTR,EDMONTON CNTR,134.5
CYQU,FSS,RDO,118.1
CYQU,RCO,EDMONTON RDO,122.5
CYQV,A/G,MF EDMONTON RDO,122.2
CYQV,RCO,EDMONTON RDO,122.2
CYQW,A/G,MF,122.1
CYQW,RCO,EDMONTON RDO,123.375
CYQX,A/D,APP/DEP,128.5
CYQX,ATIS,ATIS,124.8
CYQX,GND,GND,121.9
CYQX,OPS,OUTCAST OPS,128.85
CYQX,RCO,HALIFAX RDO,126.7
CYQX,TWR,TWR,118.1
CYQY,CNTR,MONCTON CNTR,118.6
CYQY,FSS,RDO,122
CYQY,RCO,CHARLOTTETOWN RDO,122
