icao,municipality,country,name,lat,lon
AYLB,Lab Lab Mission,PG,Lab Lab Airport,-5.72040,148.05660
AYLC,Lake Campbell,PG,Lake Campbell Airstrip,-6.74860,142.60370
AYLE,Leli,PG,Lele Airstrip,-5.21920,151.39380
AYLG,Denglagu Mission,PG,Keglsugl Airport,-5.83278,145.09722
AYLH,Klauhau,PG,Klauhau Airstrip,-4.13050,142.24950
AYLI,Kibuli,PG,Kibuli Airstrip,-9.00653,142.69806
AYLJ,Maravo,PG,Lamogai Airstrip,-5.81904,149.30531
AYLL,Linga Linga,PG,Linga Linga Airport,-5.53194,149.73417
AYLN,,PG,Langimar Airport,-7.22314,146.22708
AYLO,Lowai,PG,Lowai Airport,-6.33440,146.64580
AYLP,Leron Plains,PG,Leron Plains Airport,-6.39170,146.34340
AYLQ,Lagoon,PG,Lagoon Airstrip,-8.81860,143.13170
AYLS,Lese,PG,Lese Airport,-8.27990,146.27650
AYLT,,PG,Lengbati Airport,-6.38461,147.36864
AYLU,Lumi,PG,Lumi Airport,-3.47684,142.04129
AYLX,Long Island,PG,Long Island Airport,-5.36040,147.01770
AYLY,Myola,PG,Myola Airstrip,-9.15157,147.76232
AYLZ,Slai,PG,Slai Airstrip,-4.03220,143.18310
AYMA,Manari,PG,Manari Airport,-9.19080,147.62190
AYMB,Morobe,PG,Morobe Airport,-7.74000,147.59000
AYMC,Menyamya,PG,Menyamya Airport,-7.21167,146.01936
AYMD,Madang,PG,Madang Airport,-5.20708,145.78900
AYMF,Runakuma,PG,Maimafu Airstrip,-6.50322,145.03266
AYMG,Magleri,PG,Magleri Airstrip,-4.05206,141.98628
AYMH,Mount Hagen,PG,Mount Hagen Kagamuga Airport,-5.82821,144.29941
AYMI,Mindik,PG,Mindik Airport,-6.47167,147.44114
AYMJ,Makini,PG,Makini Airport,-6.53222,147.65117
AYMK,Mok,PG,Mok Airport,-5.73024,149.05658
AYML,Mougulu,PG,Mougulu Airport,-6.28086,142.42077
AYMN,Mendi,PG,Mendi Airport,-6.14774,143.65700
AYMO,Manus Island,PG,Momote Airport,-2.06189,147.42400
AYMP,Malalaua,PG,Malalaua Airport,-8.07139,146.15547
AYMQ,Malam,PG,Malam Airport,-8.70917,142.64972
AYMR,Moro,PG,Moro Airport,-6.36333,143.23801
AYMS,Misima Island,PG,Misima Island Airport,-10.68920,152.83800
AYMU,,PG,Muluma Airstrip,-6.42648,142.76748
AYMV,Babase Island,PG,Malekolon Airport,-4.02343,153.65728
AYMW,Marawaka,PG,Marawaka Airport,-6.97360,145.88490
AYMX,Mamusi,PG,Mamusi Airstrip,-5.19695,144.19183
AYMY,Smok,PG,Smok Airstrip,-3.31580,141.24610
AYMZ,Tatau Island,PG,Mapua(Mabua) Airport,-2.81139,151.99111
AYNA,Gwarawon,PG,Nankina Airport,-5.83700,146.45330
AYNB,Kanabea,PG,Kanabea Airport,-7.53889,145.90500
AYNC,Nadunumu,PG,Nadunumu Airport,-9.14356,147.68425
AYND,Aua Island,PG,Aua Island Airport,-1.46056,143.06472
AYNE,Negarbo,PG,Negarbo(Negabo) Airport,-6.56778,144.70306
AYNF,Nagri,PG,Nagri Airport,-4.09159,142.59294
AYNG,Manguna,PG,Manguna Airport,-5.57778,151.79233
AYNH,Gumbarami,PG,Nahu Airstrip,-5.84273,146.11260
AYNI,Nuguria Island,PG,Nuguria Airstrip,-3.40750,154.73830
AYNJ,Namudi,PG,Namudi Airport,-9.47375,148.32942
AYNM,Kasonombe,PG,Kasonombe Airport,-6.38190,146.98590
AYNN,Kandep,PG,Kandep Airport,-5.84061,143.50722
AYNO,Namane,PG,Nomane Airport,-6.32183,145.07067
AYNP,Momonup,PG,Momonup Airstrip,-4.50431,144.23147
AYNS,Bunsil - Umboi Island,PG,Bunsil Airport,-5.72430,147.86670
AYNT,Kantobo,PG,Kantobo Airstrip,-6.72270,143.56360
AYNU,Nuku,PG,Nuku Airport,-3.67677,142.48492
AYNX,Namatanai,PG,Namatanai Airport,-3.66950,152.43800
AYNY,Nambaiyufa,PG,Nambaiyufa Airport,-6.24120,145.24240
AYNZ,Lae,PG,Nadzab Tomodachi International Airport,-6.56799,146.72654
AYOA,Kwomtari,PG,Kwomtari Airstrip,-3.59800,141.36140
AYOB,Obo,PG,Obo Airport,-7.59062,141.32426
AYOD,Obura,PG,Obura Airstrip,-6.55070,145.97280
AYOE,Konge,PG,Konge Airport,-6.22390,147.21520
AYOF,Okao,PG,Okao Airport,-5.55667,141.03278
AYOG,,PG,Ogeranang Airport,-6.46675,147.36417
AYOH,Okisai,PG,Okisai Airstrip,-4.70650,141.90060
AYOJ,Oksapmin,PG,Oksapmin Airport,-5.22610,142.22590
AYOK,Komako,PG,Komako Airport,-7.39840,145.88270
AYOL,Kol,PG,Kol Airport,-5.73117,144.84600
AYOM,Omora,PG,Omora Airport,-7.82778,147.08064
AYOO,Komo,PG,Komo-Manda Airport,-6.06820,142.85980
AYOP,Kosipe Mission,PG,Kosipe Airport,-8.45072,147.20919
AYOQ,Komaio,PG,Komaio Airport,-7.27140,143.59520
AYOS,Kosimbi Mission,PG,Kosimbi Airstrip,-3.95220,143.17670
AYOU,Kombaku,PG,Kombaku Airstrip,-5.38170,144.63550
AYOV,Olsobip,PG,Olsobip Airport,-5.38972,141.51528
AYOW,Koroba,PG,Koroba Airport,-5.69520,142.74410
AYOX,Moi,PG,Moi Airstrip,-4.16150,141.24780
AYOY,Maitanakunai,PG,Open Bay Airport,-4.79473,151.69619
AYOZ,Kora,PG,Kora Airstrip,-6.43040,145.09310
AYPA,Somokopa,PG,Somokopa Airstrip,-7.08380,142.51400
AYPB,Paiela,PG,Paiela Airport,-5.37241,142.97577
AYPC,Pangoa,PG,Pangoa Airport,-7.02260,141.56050
AYPD,Pindiu,PG,Pindiu Airport,-6.44514,147.51583
AYPE,April River,PG,April River Airport,-4.67667,142.54014
AYPG,Pangia,PG,Pangia Airport,-6.38600,144.10840
AYPI,Kapi,PG,Kapi Airstrip,-6.37100,144.68390
AYPJ,Pimaga,PG,Pimaga Airport,-6.49917,143.51028
AYPO,Mapoda,PG,Mapoda Airport,-7.97900,143.16940
AYPQ,Pumani,PG,Pumani Airport,-9.74690,149.47660
AYPS,Maposi,PG,Maposi Airstrip,-4.54597,142.22107
AYPU,Puri,PG,Walluanda Airport,-6.47516,143.98722
AYPW,,PG,Panakawa Airport,-7.67206,143.12472
